Ahri,0,4,1,3
Akali,15,7,4,3
Alistar,2,27,14,13
Amumu,6,9,5,4
Anivia,0,4,0,4
Annie,0,1,1,0
Ashe,0,2,1,1
Brand,1,0,0,0
Caitlyn,11,39,16,23
Cassiopeia,0,2,1,1
Cho'Gath,3,13,7,6
Corki,0,5,2,3
Darius,0,3,2,1
Diana,26,23,13,10
Dr. Mundo,0,1,0,1
Draven,12,17,11,6
Elise,27,37,21,16
Evelynn,3,3,2,1
Ezreal,0,25,11,14
Fiddlesticks,0,1,0,1
Fizz,2,4,0,4
Galio,0,1,0,1
Gragas,15,14,7,7
Graves,0,6,1,5
Hecarim,4,6,3,3
Irelia,5,3,2,1
Janna,1,11,4,7
Jarvan IV,24,51,26,25
Jax,0,1,0,1
Jayce,14,17,7,10
Karthus,8,20,10,10
Kassadin,1,2,0,2
Katarina,4,8,4,4
Kayle,53,20,7,13
Kennen,0,2,0,2
Kha'Zix,15,22,13,9
Kog'Maw,3,23,10,13
LeBlanc,6,1,1,0
Lee Sin,0,8,4,4
Leona,0,7,3,4
Lulu,6,46,17,29
Lux,4,23,9,14
Malphite,27,16,11,5
Maokai,3,7,3,4
Miss Fortune,13,26,18,8
Morgana,0,2,1,1
Nami,0,2,1,1
Nasus,6,37,19,18
Nautilus,0,1,0,1
Nidalee,31,17,11,6
Nocturne,1,8,4,4
Nunu,6,6,0,6
Olaf,6,3,1,2
Orianna,3,21,11,10
Quinn,0,1,0,1
Renekton,31,27,14,13
Riven,4,6,4,2
Rumble,16,26,11,15
Ryze,5,20,11,9
Shen,44,33,13,20
Singed,17,15,10,5
Sona,1,53,32,21
Soraka,0,2,0,2
Syndra,3,3,1,2
Taric,8,22,12,10
Thresh,27,33,17,16
Tristana,1,20,15,5
Trundle,1,6,1,5
Tryndamere,2,3,1,2
Twisted Fate,53,20,15,5
Twitch,10,26,9,17
Udyr,1,7,2,5
Urgot,1,4,2,2
Varus,0,20,8,12
Vayne,15,13,7,6
Veigar,0,1,1,0
Vi,7,13,8,5
Viktor,0,1,0,1
Vladimir,1,3,2,1
Volibear,6,16,9,7
Wukong,0,1,0,1
Xerath,7,6,4,2
Xin Zhao,19,31,18,13
Yorick,0,1,1,0
Zed,22,12,4,8
Ziggs,0,1,1,0
Zyra,1,8,6,2
